,year,genre,popularity,popularity_smoothed
192,1862,humor,0.0,6.802721088435374
193,1864,humor,0.0,6.802721088435374
194,1865,humor,0.0,4.761904761904761
195,1869,humor,0.0,0.0
196,1873,humor,0.0,0.0
197,1876,humor,0.0,2.3809523809523805
198,1877,humor,0.0,3.8095238095238093
199,1880,humor,0.0,8.095238095238095
200,1881,humor,16.666666666666664,11.666666666666666
201,1882,humor,10.0,13.095238095238093
202,1883,humor,30.0,13.744588744588743
203,1884,humor,25.0,13.744588744588743
204,1885,humor,10.0,11.363636363636362
205,1886,humor,4.545454545454546,9.935064935064933
206,1887,humor,0.0,5.64935064935065
207,1889,humor,0.0,2.077922077922078
208,1890,humor,0.0,7.792207792207792
209,1891,humor,0.0,
210,1892,humor,0.0,
211,1893,humor,50.0,
212,1894,humor,,
213,1895,humor,4.761904761904762,
214,1896,humor,0.0,
215,1897,humor,11.11111111111111,
216,1898,humor,0.0,
217,1899,humor,0.0,
218,1900,humor,,
219,1901,humor,,
220,1902,humor,0.0,
221,1903,humor,0.0,
222,1904,humor,0.0,
223,1905,humor,0.0,
224,1906,humor,0.0,
225,1907,humor,,
226,1908,humor,0.0,
227,1909,humor,0.0,
228,1910,humor,0.0,
229,1911,humor,0.0,0.0
230,1912,humor,0.0,0.0
231,1913,humor,0.0,0.0
232,1914,humor,0.0,0.0
233,1915,humor,0.0,1.298701298701299
234,1918,humor,0.0,
235,1921,humor,0.0,
236,1923,humor,9.090909090909092,
237,1816,social commentary,,
238,1817,social commentary,,
239,1818,social commentary,,
240,1819,social commentary,,
241,1822,social commentary,0.0,
242,1824,social commentary,,
243,1825,social commentary,,
244,1826,social commentary,,
245,1827,social commentary,,
246,1828,social commentary,0.0,
247,1829,social commentary,,
248,1830,social commentary,0.0,
249,1831,social commentary,0.0,
250,1832,social commentary,,
251,1833,social commentary,0.0,
252,1834,social commentary,0.0,
253,1835,social commentary,0.0,
254,1836,social commentary,,
255,1838,social commentary,0.0,
256,1839,social commentary,,
257,1842,social commentary,,
258,1845,social commentary,0.0,
259,1846,social commentary,0.0,
260,1847,social commentary,0.0,
261,1848,social commentary,9.090909090909092,1.298701298701299
262,1852,social commentary,0.0,1.298701298701299
263,1853,social commentary,0.0,
264,1855,social commentary,0.0,
265,1856,social commentary,0.0,
266,1857,social commentary,,
267,1858,social commentary,0.0,
268,1859,social commentary,0.0,
269,1860,social commentary,14.285714285714285,
270,1861,social commentary,0.0,13.945578231292517
271,1862,social commentary,33.33333333333333,21.08843537414966
272,1864,social commentary,0.0,21.08843537414966
273,1865,social commentary,50.0,19.047619047619047
274,1869,social commentary,50.0,19.047619047619047
275,1873,social commentary,0.0,14.285714285714286
276,1876,social commentary,0.0,14.285714285714286
277,1877,social commentary,0.0,8.571428571428571
278,1880,social commentary,0.0,2.857142857142857
279,1881,social commentary,0.0,5.714285714285714
280,1882,social commentary,10.0,5.714285714285714
281,1883,social commentary,10.0,5.714285714285714
282,1884,social commentary,20.0,5.714285714285714
283,1885,social commentary,0.0,5.714285714285714
284,1886,social commentary,0.0,4.285714285714286
285,1887,social commentary,0.0,2.857142857142857
286,1889,social commentary,0.0,2.0408163265306123
287,1890,social commentary,0.0,2.0408163265306123
288,1891,social commentary,0.0,
289,1892,social commentary,14.285714285714285,
290,1893,social commentary,0.0,
291,1894,social commentary,,
292,1895,social commentary,0.0,
293,1896,social commentary,100.0,
294,1897,social commentary,11.11111111111111,
295,1898,social commentary,10.0,
296,1899,social commentary,50.0,
297,1900,social commentary,,
298,1901,social commentary,,
299,1902,social commentary,0.0,
300,1903,social commentary,0.0,
301,1904,social commentary,0.0,
302,1905,social commentary,0.0,
303,1906,social commentary,0.0,
304,1907,social commentary,,
305,1908,social commentary,25.0,
306,1909,social commentary,20.0,
307,1910,social commentary,100.0,
308,1911,social commentary,16.666666666666664,23.095238095238095
309,1912,social commentary,0.0,19.523809523809522
310,1913,social commentary,0.0,16.666666666666664
311,1914,social commentary,0.0,2.3809523809523805
312,1915,social commentary,0.0,1.298701298701299
313,1918,social commentary,0.0,
314,1921,social commentary,0.0,
315,1923,social commentary,9.090909090909092,
316,1816,satire,,
317,1817,satire,,
318,1818,satire,,
319,1819,satire,,
320,1822,satire,0.0,
321,1824,satire,,
322,1825,satire,,
323,1826,satire,,
324,1827,satire,,
325,1828,satire,0.0,
326,1829,satire,,
327,1830,satire,12.5,
328,1831,satire,0.0,
329,1832,satire,,
330,1833,satire,9.090909090909092,
331,1834,satire,0.0,
332,1835,satire,15.384615384615385,
333,1836,satire,,
334,1838,satire,0.0,
335,1839,satire,,
336,1842,satire,,
337,1845,satire,0.0,
338,1846,satire,0.0,
339,1847,satire,16.666666666666664,
340,1848,satire,18.181818181818183,7.835497835497835
341,1852,satire,0.0,7.835497835497835
342,1853,satire,20.0,
343,1855,satire,0.0,
344,1856,satire,0.0,
345,1857,satire,,
346,1858,satire,0.0,
347,1859,satire,0.0,
348,1860,satire,14.285714285714285,
349,1861,satire,33.33333333333333,18.707482993197278
350,1862,satire,33.33333333333333,25.85034013605442
351,1864,satire,0.0,32.99319727891156
352,1865,satire,50.0,30.952380952380953
353,1869,satire,50.0,26.190476190476186
354,1873,satire,50.0,26.190476190476193
355,1876,satire,0.0,28.571428571428573
356,1877,satire,0.0,22.857142857142858
357,1880,satire,33.33333333333333,18.571428571428573
358,1881,satire,16.666666666666664,15.0
359,1882,satire,10.0,19.285714285714285
360,1883,satire,20.0,20.584415584415584
361,1884,satire,25.0,18.2034632034632
362,1885,satire,30.0,15.822510822510822
363,1886,satire,9.090909090909092,14.393939393939393
364,1887,satire,16.666666666666664,11.536796536796535
365,1889,satire,0.0,10.006184291898577
366,1890,satire,0.0,5.720470006184292
367,1891,satire,0.0,
368,1892,satire,14.285714285714285,
369,1893,satire,0.0,
370,1894,satire,,
371,1895,satire,4.761904761904762,
372,1896,satire,0.0,
373,1897,satire,0.0,
374,1898,satire,10.0,
375,1899,satire,0.0,
376,1900,satire,,
377,1901,satire,,
378,1902,satire,0.0,
379,1903,satire,0.0,
380,1904,satire,0.0,
381,1905,satire,0.0,
382,1906,satire,0.0,
383,1907,satire,,
384,1908,satire,0.0,
385,1909,satire,0.0,
386,1910,satire,0.0,
387,1911,satire,16.666666666666664,2.3809523809523805
388,1912,satire,0.0,2.3809523809523805
389,1913,satire,0.0,16.666666666666664
390,1914,satire,0.0,16.666666666666664
391,1915,satire,0.0,15.584415584415584
392,1918,satire,100.0,
393,1921,satire,0.0,
394,1923,satire,9.090909090909092,
395,1816,fiction,,
396,1817,fiction,,
397,1818,fiction,,
398,1819,fiction,,
399,1822,fiction,0.0,
400,1824,fiction,,
401,1825,fiction,,
402,1826,fiction,,
403,1827,fiction,,
404,1828,fiction,0.0,
405,1829,fiction,,
406,1830,fiction,0.0,
407,1831,fiction,0.0,
408,1832,fiction,,
409,1833,fiction,9.090909090909092,
410,1834,fiction,33.33333333333333,
411,1835,fiction,7.6923076923076925,
412,1836,fiction,,
413,1838,fiction,0.0,
414,1839,fiction,,
415,1842,fiction,,
416,1845,fiction,0.0,
417,1846,fiction,0.0,
418,1847,fiction,16.666666666666664,
